ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB),Time since start in ms 
0.83502,7.66345,3.98593,-0.0619,8.28601,5.24486,0.71045,-1.76117,-1.93658,0.00226,0.06929,0.0531,5.93,-23.405,-56.004,348.592,-57.875,-1.107,48.8872,15
0.83502,7.66345,3.98593,-0.0619,8.28601,5.24486,0.71045,-1.76117,-1.93658,0.00226,0.06929,0.0531,4.523,-24.419,-56.844,353.026,-57.665,0.676,48.8872,51
1.1033,9.12306,4.17276,-0.05718,8.44488,4.98508,1.16255,0.37286,-0.99256,0.08287,-0.43242,-0.39769,4.523,-24.419,-56.844,353.026,-57.665,0.676,48.8872,86
1.1033,9.12306,4.17276,-0.05718,8.44488,4.98508,1.16255,0.37286,-0.99256,0.08287,-0.43242,-0.39769,4.523,-24.419,-56.844,353.026,-57.665,0.676,48.8872,121
1.1033,9.12306,4.17276,-0.05718,8.44488,4.98508,1.16255,0.37286,-0.99256,0.08287,-0.43242,-0.39769,4.523,-24.419,-56.844,353.026,-57.665,0.676,49.2338,155
1.35654,10.98576,7.42145,0.08074,8.39218,5.07299,1.27224,2.22366,2.12484,-0.56564,-0.19397,-0.13239,4.225,-23.276,-56.203,354.754,-59.445,0.657,49.2338,191
1.35654,10.98576,7.42145,0.08074,8.39218,5.07299,1.27224,2.22366,2.12484,-0.56564,-0.19397,-0.13239,4.225,-23.276,-56.203,354.754,-59.445,0.657,49.2338,226
1.35654,10.98576,7.42145,0.08074,8.39218,5.07299,1.27224,2.22366,2.12484,-0.56564,-0.19397,-0.13239,4.225,-23.276,-56.203,354.754,-59.445,0.657,49.2338,260
1.35654,10.98576,7.42145,0.08074,8.39218,5.07299,1.27224,2.22366,2.12484,-0.56564,-0.19397,-0.13239,4.225,-23.276,-56.203,354.754,-59.445,0.657,49.2338,295
1.40712,7.34181,6.72745,0.16376,7.91026,5.79408,1.23575,-0.93579,0.66429,-0.95415,-0.22166,-0.41357,0.394,-18.765,-57.513,358.671,-58.844,-0.912,49.2338,330
1.40712,7.34181,6.72745,0.16376,7.91026,5.79408,1.23575,-0.93579,0.66429,-0.95415,-0.22166,-0.41357,0.394,-18.765,-57.513,358.671,-58.844,-0.912,49.2338,365
1.40712,7.34181,6.72745,0.16376,7.91026,5.79408,1.23575,-0.93579,0.66429,-0.95415,-0.22166,-0.41357,0.394,-18.765,-57.513,358.671,-58.844,-0.912,49.2338,401
0.3206,6.74986,4.21379,0.16376,7.91026,5.79408,1.23575,-0.93579,0.66429,-0.95415,-0.22166,-0.41357,1.073,-18.84,-58.205,355.751,-53.767,-1.619,49.2338,435
0.3206,6.74986,4.21379,-0.18743,7.82146,5.91269,0.51557,-1.3861,-1.93665,0.43309,-0.15529,-0.7023,1.073,-18.84,-58.205,355.751,-53.767,-1.619,48.8135,471
0.3206,6.74986,4.21379,-0.18743,7.82146,5.91269,0.51557,-1.3861,-1.93665,0.43309,-0.15529,-0.7023,1.073,-18.84,-58.205,355.751,-53.767,-1.619,48.8135,506
